S. No.,F.Y.,Location,Month,PO No.,PO STATUS,Type,PO Value,Variation,Revised PO Value,Certified Value,Vendor Debit / Credit,Final Certified Value(K-L),Project,Vendor Name,Vendor Code,Category,Amount Paid,Final Payables,Total Invoice value,Credit Note/ Debit Note,Final Invoice value,Invoice Needed as per Certification,Invoice Needed as per Paid Amount,Advance,RA 1,RA 2,RA 3,RA 4,RA 5,RA 6,RA 7,RA 8,RA9,RA10,Final,TDS,PO vs Amount Paid %,Invoice No.1,Invoice Date1,Inv_Amount1,Invoice No._2,Invoice Date_2,Inv_Amount_2,Invoice No. _3,Invoice Date_3,Inv_Amount_3,Invoice No. _4,Invoice Date. _4,Inv_Amount_4,Invoice No. _5,Invoice Date. _5,Inv_Amount_5,Invoice No. _6,Invoice Date. _6,Inv_Amount_6,Invoice No. _7,Invoice Date. _7,Inv_Amount_7,Max_Inv_Date,Reason,Debit Note Status,Remarks,,Project Code
12,24-25,,Mar,LAIPL/PO/24-25/012,Billed,,"362,377",0,"362,377","362,377",,"362,377",VMAN,Interio Mart,VEN-012,,"361,204","1,173",0,,0,"362,377","361,204","76,342","75,830","170,893",,"37,775",,,,,,,,364,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
13,24-25,,Mar,LAIPL/PO/24-25/014,Open,,"688,512",0,"688,512","688,512",,"688,512",VMAN,Comfort Aircon,VEN-015,,"663,550","24,962",0,"29,500","-29,500","688,512","663,550","175,500","105,000",,"78,646","100,000","50,000","57,000","67,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
14,24-25,,Apr,LAIPL/PO/24-25/015,Partially Billed,,"55,814",0,"55,814","55,814",,"55,814",VMAN,Interio Mart,VEN-012,,"41,944","13,870",0,,0,"55,814","41,944","25,630",,"16,314",,,,,,,,,,,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
15,24-25,,Mar,LAIPL/PO/24-25/016,Open,,"218,300",0,"218,300","218,300",,"218,300",ATIPL,R Cube Project,VEN-006,,"218,299",1,"236,000","17,700","218,300","-17,700","-17,701","143,478","72,821",,,,,,,,,,,"2,000",100%,,,236000,,,,,,,,,,,,,,,,,,,,,,,,#REF!
16,24-25,,Apr,LAIPL/PO/24-25/017,Billed,,"36,320",0,"36,320","36,320",,"36,320",VMAN,Shiv Shakti Electric Works,VEN-007,,"36,320",0,"36,320",,"36,320",0,0,"36,320",,,,,,,,,,,,,100%,SEW/07/2025-26,24-04-25,36320,SEW/07/2025-26,,,,,,,,,,,,,,,,,,,,,,,#REF!
17,24-25,,Apr,LAIPL/PO/25-26/001,Billed,,"65,647",0,"65,647","65,647",,"65,647",VMAN,Bath Arcade,VEN-017,,"65,647",0,0,,0,"65,647","65,647","65,647",,,,,,,,,,,,,100%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
18,25-26,,Apr,LAIPL/PO/25-26/002,Billed,,"3,540",0,"3,540","3,540",,"3,540",VMAN,Hind Glass House,VEN-018,,"3,540",0,"3,540",,"3,540",0,0,"3,540",,,,,,,,,,,,,100%,23,21-04-25,3540,23,,,,,,,,,,,,,,,,,,,,,,,#REF!
19,25-26,,Apr,LAIPL/PO/25-26/003,Partially Billed,,"387,503",0,"387,503","387,503",,"387,503",VMAN,Waymore Engineering Pvt Ltd,VEN-014,,"340,879","46,624","288,982",,"288,982","98,521","51,897","128,463","100,000","112,416",,,,,,,,,,,88%,,,,19,19-05-25,182900,18,23-05-25,"106,082",,,,,,,,,,,,,,,,,,#REF!
20,25-26,,Apr,LAIPL/PO/25-26/004,Billed,,"32,295",0,"32,295","32,295",,"32,295",VMAN,Shri Krishna Tiles and Concepts,VEN-019,,"32,295",0,0,,0,"32,295","32,295","32,295",,,,,,,,,,,,,100%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
21,25-26,,Apr,LAIPL/PO/25-26/005,Billed,,"10,325",0,"10,325","10,325",,"10,325",Indirect,FANTASY ENTERPRISES,VEN-020,,"10,325",0,"10,325",,"10,325",0,0,"4,375","5,950",,,,,,,,,,,,100%,,,10325,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
